cell_id,neighborhood_id,district_id,quarter_id,x,y,population,zoning_type,avg_household_income,residential_units,commercial_units,park_pct
SW-A-A-A,SW-A-A,SW-A,SW,0,0,1582,Mixed,39680,632,48,0.017
SW-A-A-B,SW-A-A,SW-A,SW,1,0,618,Industrial,49022,123,27,0.023
SW-A-B-A,SW-A-B,SW-A,SW,2,0,888,Mixed,55035,355,201,0.148
SW-A-B-B,SW-A-B,SW-A,SW,3,0,1680,Industrial,41125,336,25,0.011
SW-B-A-A,SW-B-A,SW-B,SW,4,0,1927,Industrial,47600,385,28,0.175
SW-B-A-B,SW-B-A,SW-B,SW,5,0,1307,Commercial,44573,261,107,0.084
SW-B-B-A,SW-B-B,SW-B,SW,6,0,1619,Industrial,51301,323,36,0.174
SW-B-B-B,SW-B-B,SW-B,SW,7,0,1092,Industrial,41489,218,29,0.034
SE-A-A-A,SE-A-A,SE-A,SE,8,0,3097,Residential,48397,1238,22,0.079
SE-A-A-B,SE-A-A,SE-A,SE,9,0,3688,Mixed,51017,1475,177,0.07
SE-A-B-A,SE-A-B,SE-A,SE,10,0,3396,Residential,74071,1358,33,0.001
SE-A-B-B,SE-A-B,SE-A,SE,11,0,3460,Mixed,70469,1384,73,0.141
SE-B-A-A,SE-B-A,SE-B,SE,12,0,2776,Residential,51416,1110,9,0.12
SE-B-A-B,SE-B-A,SE-B,SE,13,0,4071,Mixed,35756,1628,55,0.114
SE-B-B-A,SE-B-B,SE-B,SE,14,0,3727,Commercial,71668,745,162,0.079
SE-B-B-B,SE-B-B,SE-B,SE,15,0,3972,Mixed,58130,1588,36,0.042
SW-A-A-C,SW-A-A,SW-A,SW,0,1,848,Industrial,51977,169,17,0.1
SW-A-A-D,SW-A-A,SW-A,SW,1,1,1495,Industrial,53004,299,26,0.147
SW-A-B-C,SW-A-B,SW-A,SW,2,1,1002,Residential,45095,400,30,0.083
SW-A-B-D,SW-A-B,SW-A,SW,3,1,1118,Commercial,48099,223,188,0.125
SW-B-A-C,SW-B-A,SW-B,SW,4,1,1799,Industrial,47212,359,27,0.065
SW-B-A-D,SW-B-A,SW-B,SW,5,1,42,Park,37418,8,25,0.913
SW-B-B-C,SW-B-B,SW-B,SW,6,1,68,Park,44974,13,10,0.837
SW-B-B-D,SW-B-B,SW-B,SW,7,1,839,Residential,46356,335,31,0.162
SE-A-A-C,SE-A-A,SE-A,SE,8,1,3956,Commercial,35090,791,207,0.032
SE-A-A-D,SE-A-A,SE-A,SE,9,1,1898,Mixed,62081,759,157,0.078
SE-A-B-C,SE-A-B,SE-A,SE,10,1,3219,Mixed,85026,1287,168,0.075
SE-A-B-D,SE-A-B,SE-A,SE,11,1,3397,Commercial,81387,679,48,0.026
SE-B-A-C,SE-B-A,SE-B,SE,12,1,4516,Residential,43168,1806,11,0.105
SE-B-A-D,SE-B-A,SE-B,SE,13,1,1960,Residential,70527,784,37,0.173
SE-B-B-C,SE-B-B,SE-B,SE,14,1,2285,Residential,65702,914,11,0.088
SE-B-B-D,SE-B-B,SE-B,SE,15,1,3572,Commercial,46156,714,137,0.048
SW-A-C-A,SW-A-C,SW-A,SW,0,2,912,Industrial,44677,182,11,0.149
SW-A-C-B,SW-A-C,SW-A,SW,1,2,1494,Industrial,46730,298,0,0.02
SW-A-D-A,SW-A-D,SW-A,SW,2,2,1108,Industrial,47569,221,37,0.019
SW-A-D-B,SW-A-D,SW-A,SW,3,2,1100,Residential,38520,440,30,0.1
SW-B-C-A,SW-B-C,SW-B,SW,4,2,2677,Mixed,41428,1070,241,0.172
SW-B-C-B,SW-B-C,SW-B,SW,5,2,1630,Industrial,46746,326,12,0.168
SW-B-D-A,SW-B-D,SW-B,SW,6,2,1667,Industrial,44360,333,38,0.161
SW-B-D-B,SW-B-D,SW-B,SW,7,2,2347,Mixed,49279,938,248,0.093
SE-A-C-A,SE-A-C,SE-A,SE,8,2,4375,Mixed,64290,1750,120,0.017
SE-A-C-B,SE-A-C,SE-A,SE,9,2,4582,Mixed,63748,1832,112,0.043
SE-A-D-A,SE-A-D,SE-A,SE,10,2,4685,Residential,86854,1874,29,0.108
SE-A-D-B,SE-A-D,SE-A,SE,11,2,2203,Mixed,47579,881,69,0.175
SE-B-C-A,SE-B-C,SE-B,SE,12,2,3195,Residential,58548,1278,6,0.024
SE-B-C-B,SE-B-C,SE-B,SE,13,2,3779,Industrial,30247,755,9,0.125
SE-B-D-A,SE-B-D,SE-B,SE,14,2,2103,Mixed,47827,841,35,0.133
SE-B-D-B,SE-B-D,SE-B,SE,15,2,3227,Commercial,53737,645,187,0.088
SW-A-C-C,SW-A-C,SW-A,SW,0,3,1722,Industrial,58699,344,38,0.004
SW-A-C-D,SW-A-C,SW-A,SW,1,3,1545,Residential,49412,618,36,0.025
SW-A-D-C,SW-A-D,SW-A,SW,2,3,1536,Industrial,68139,307,7,0.145
SW-A-D-D,SW-A-D,SW-A,SW,3,3,521,Residential,43274,208,37,0.02
SW-B-C-C,SW-B-C,SW-B,SW,4,3,962,Commercial,42766,192,103,0.109
SW-B-C-D,SW-B-C,SW-B,SW,5,3,1082,Industrial,40985,216,21,0.156
SW-B-D-C,SW-B-D,SW-B,SW,6,3,519,Commercial,65033,103,248,0.147
SW-B-D-D,SW-B-D,SW-B,SW,7,3,3143,Industrial,38627,628,29,0.026
SE-A-C-C,SE-A-C,SE-A,SE,8,3,4755,Residential,46197,1902,36,0.03
SE-A-C-D,SE-A-C,SE-A,SE,9,3,2861,Residential,58992,1144,36,0.004
SE-A-D-C,SE-A-D,SE-A,SE,10,3,2960,Residential,64482,1184,17,0.123
SE-A-D-D,SE-A-D,SE-A,SE,11,3,3339,Industrial,66276,667,23,0.158
SE-B-C-C,SE-B-C,SE-B,SE,12,3,2550,Residential,65747,1020,35,0.045
SE-B-C-D,SE-B-C,SE-B,SE,13,3,4616,Residential,66787,1846,9,0.067
SE-B-D-C,SE-B-D,SE-B,SE,14,3,3435,Mixed,44313,1374,53,0.166
SE-B-D-D,SE-B-D,SE-B,SE,15,3,1629,Mixed,74911,651,41,0.176
SW-C-A-A,SW-C-A,SW-C,SW,0,4,1117,Industrial,50109,223,24,0.024
SW-C-A-B,SW-C-A,SW-C,SW,1,4,1248,Mixed,49220,499,201,0.083
SW-C-B-A,SW-C-B,SW-C,SW,2,4,1257,Industrial,49412,251,2,0.086
