neighborhood_id,district_id,quarter_id,position
NW-A-A,NW-A,NW,A
NW-A-B,NW-A,NW,B
NW-A-C,NW-A,NW,C
NW-A-D,NW-A,NW,D
NW-B-A,NW-B,NW,A
NW-B-B,NW-B,NW,B
NW-B-C,NW-B,NW,C
NW-B-D,NW-B,NW,D
NW-C-A,NW-C,NW,A
NW-C-B,NW-C,NW,B
NW-C-C,NW-C,NW,C
NW-C-D,NW-C,NW,D
NW-D-A,NW-D,NW,A
NW-D-B,NW-D,NW,B
NW-D-C,NW-D,NW,C
NW-D-D,NW-D,NW,D
NE-A-A,NE-A,NE,A
NE-A-B,NE-A,NE,B
NE-A-C,NE-A,NE,C
NE-A-D,NE-A,NE,D
NE-B-A,NE-B,NE,A
NE-B-B,NE-B,NE,B
NE-B-C,NE-B,NE,C
NE-B-D,NE-B,NE,D
NE-C-A,NE-C,NE,A
NE-C-B,NE-C,NE,B
NE-C-C,NE-C,NE,C
NE-C-D,NE-C,NE,D
NE-D-A,NE-D,NE,A
NE-D-B,NE-D,NE,B
NE-D-C,NE-D,NE,C
NE-D-D,NE-D,NE,D
SW-A-A,SW-A,SW,A
SW-A-B,SW-A,SW,B
SW-A-C,SW-A,SW,C
SW-A-D,SW-A,SW,D
SW-B-A,SW-B,SW,A
SW-B-B,SW-B,SW,B
SW-B-C,SW-B,SW,C
SW-B-D,SW-B,SW,D
SW-C-A,SW-C,SW,A
SW-C-B,SW-C,SW,B
SW-C-C,SW-C,SW,C
SW-C-D,SW-C,SW,D
SW-D-A,SW-D,SW,A
SW-D-B,SW-D,SW,B
SW-D-C,SW-D,SW,C
SW-D-D,SW-D,SW,D
SE-A-A,SE-A,SE,A
SE-A-B,SE-A,SE,B
SE-A-C,SE-A,SE,C
SE-A-D,SE-A,SE,D
SE-B-A,SE-B,SE,A
SE-B-B,SE-B,SE,B
SE-B-C,SE-B,SE,C
SE-B-D,SE-B,SE,D
SE-C-A,SE-C,SE,A
SE-C-B,SE-C,SE,B
SE-C-C,SE-C,SE,C
SE-C-D,SE-C,SE,D
SE-D-A,SE-D,SE,A
SE-D-B,SE-D,SE,B
SE-D-C,SE-D,SE,C
SE-D-D,SE-D,SE,D
