station_id,day_of_week,hour,boardings,alightings
OL-1,Monday,0,5,5
OL-1,Monday,1,5,4
OL-1,Monday,2,5,4
OL-1,Monday,3,5,5
OL-1,Monday,4,6,5
OL-1,Monday,5,12,12
OL-1,Monday,6,41,41
OL-1,Monday,7,106,144
OL-1,Monday,8,148,186
OL-1,Monday,9,106,130
OL-1,Monday,10,41,37
OL-1,Monday,11,12,10
OL-1,Monday,12,6,6
OL-1,Monday,13,7,6
OL-1,Monday,14,15,13
OL-1,Monday,15,41,37
OL-1,Monday,16,92,56
OL-1,Monday,17,141,118
OL-1,Monday,18,141,97
OL-1,Monday,19,92,82
OL-1,Monday,20,41,36
OL-1,Monday,21,15,15
OL-1,Monday,22,7,6
OL-1,Monday,23,6,5
OL-2,Monday,0,12,13
OL-2,Monday,1,12,13
OL-2,Monday,2,12,10
OL-2,Monday,3,12,10
OL-2,Monday,4,14,14
OL-2,Monday,5,26,24
OL-2,Monday,6,89,95
OL-2,Monday,7,231,299
OL-2,Monday,8,321,414
OL-2,Monday,9,231,321
OL-2,Monday,10,89,94
OL-2,Monday,11,26,22
OL-2,Monday,12,14,12
OL-2,Monday,13,16,16
OL-2,Monday,14,33,32
OL-2,Monday,15,89,82
OL-2,Monday,16,200,139
OL-2,Monday,17,304,247
OL-2,Monday,18,304,255
OL-2,Monday,19,200,149
OL-2,Monday,20,89,85
OL-2,Monday,21,33,30
OL-2,Monday,22,16,16
OL-2,Monday,23,13,12
OL-3,Monday,0,19,20
OL-3,Monday,1,19,16
OL-3,Monday,2,19,16
OL-3,Monday,3,19,17
OL-3,Monday,4,20,22
OL-3,Monday,5,39,40
OL-3,Monday,6,133,119
OL-3,Monday,7,342,482
OL-3,Monday,8,476,601
OL-3,Monday,9,342,433
OL-3,Monday,10,133,150
OL-3,Monday,11,39,33
OL-3,Monday,12,20,18
OL-3,Monday,13,24,24
OL-3,Monday,14,49,44
OL-3,Monday,15,133,140
OL-3,Monday,16,296,184
OL-3,Monday,17,451,263
OL-3,Monday,18,451,280
OL-3,Monday,19,296,206
OL-3,Monday,20,133,120
OL-3,Monday,21,49,43
OL-3,Monday,22,24,26
OL-3,Monday,23,19,17
OL-4,Monday,0,25,21
OL-4,Monday,1,25,23
OL-4,Monday,2,25,23
OL-4,Monday,3,26,26
OL-4,Monday,4,28,25
OL-4,Monday,5,53,59
OL-4,Monday,6,181,204
OL-4,Monday,7,465,527
OL-4,Monday,8,648,737
OL-4,Monday,9,465,530
OL-4,Monday,10,181,187
OL-4,Monday,11,53,46
OL-4,Monday,12,28,30
OL-4,Monday,13,32,34
OL-4,Monday,14,66,72
OL-4,Monday,15,181,182
OL-4,Monday,16,403,362
OL-4,Monday,17,614,347
OL-4,Monday,18,614,423
OL-4,Monday,19,403,267
OL-4,Monday,20,181,205
OL-4,Monday,21,66,67
OL-4,Monday,22,32,34
OL-4,Monday,23,26,23
OL-5,Monday,0,113,112
OL-5,Monday,1,113,112
OL-5,Monday,2,113,128
OL-5,Monday,3,114,109
OL-5,Monday,4,124,120
OL-5,Monday,5,233,238
OL-5,Monday,6,793,704
OL-5,Monday,7,2041,2474
OL-5,Monday,8,2841,3317
OL-5,Monday,9,2041,2318
OL-5,Monday,10,793,880
OL-5,Monday,11,233,239
OL-5,Monday,12,124,118
OL-5,Monday,13,143,139
OL-5,Monday,14,292,286
OL-5,Monday,15,793,824
OL-5,Monday,16,1767,1545
OL-5,Monday,17,2693,2360
OL-5,Monday,18,2693,1850
OL-5,Monday,19,1767,1175
OL-5,Monday,20,793,781
OL-5,Monday,21,292,297
OL-5,Monday,22,143,141
OL-5,Monday,23,116,121
OL-6,Monday,0,28,26
OL-6,Monday,1,28,26
OL-6,Monday,2,28,26
OL-6,Monday,3,28,24
OL-6,Monday,4,31,27
OL-6,Monday,5,59,62
OL-6,Monday,6,201,194
OL-6,Monday,7,517,607
OL-6,Monday,8,720,933
OL-6,Monday,9,517,705
OL-6,Monday,10,201,186
OL-6,Monday,11,59,64
OL-6,Monday,12,31,34
OL-6,Monday,13,36,37
OL-6,Monday,14,74,77
OL-6,Monday,15,201,174
OL-6,Monday,16,448,394
OL-6,Monday,17,682,468
OL-6,Monday,18,682,595
OL-6,Monday,19,448,337
OL-6,Monday,20,201,171
OL-6,Monday,21,74,63
OL-6,Monday,22,36,37
OL-6,Monday,23,29,29
OL-7,Monday,0,17,18
OL-7,Monday,1,17,18
OL-7,Monday,2,17,16
OL-7,Monday,3,17,16
OL-7,Monday,4,19,16
OL-7,Monday,5,36,39
OL-7,Monday,6,122,115
OL-7,Monday,7,315,443
OL-7,Monday,8,439,540
OL-7,Monday,9,315,408
OL-7,Monday,10,122,113
OL-7,Monday,11,36,32
OL-7,Monday,12,19,20
OL-7,Monday,13,22,21
OL-7,Monday,14,45,45
OL-7,Monday,15,122,139
OL-7,Monday,16,273,242
OL-7,Monday,17,417,354
OL-7,Monday,18,417,256
OL-7,Monday,19,273,206
OL-7,Monday,20,122,135
OL-7,Monday,21,45,43
OL-7,Monday,22,22,19
OL-7,Monday,23,18,19
OL-8,Monday,0,12,12
OL-8,Monday,1,12,13
OL-8,Monday,2,12,12
OL-8,Monday,3,12,11
OL-8,Monday,4,13,12
OL-8,Monday,5,25,24
OL-8,Monday,6,85,75
OL-8,Monday,7,220,303
OL-8,Monday,8,307,427
OL-8,Monday,9,220,263
OL-8,Monday,10,85,79
OL-8,Monday,11,25,27
OL-8,Monday,12,13,11
OL-8,Monday,13,15,15
OL-8,Monday,14,31,30
OL-8,Monday,15,85,89
OL-8,Monday,16,191,115
OL-8,Monday,17,291,228
OL-8,Monday,18,291,198
OL-8,Monday,19,191,146
OL-8,Monday,20,85,73
OL-8,Monday,21,31,30
OL-8,Monday,22,15,15
OL-8,Monday,23,12,10
OL-9,Monday,0,4,3
OL-9,Monday,1,4,3
OL-9,Monday,2,4,3
OL-9,Monday,3,4,4
OL-9,Monday,4,5,4
OL-9,Monday,5,10,10
OL-9,Monday,6,34,38
OL-9,Monday,7,88,99
OL-9,Monday,8,122,162
OL-9,Monday,9,88,123
OL-9,Monday,10,34,35
OL-9,Monday,11,10,9
OL-9,Monday,12,5,4
OL-9,Monday,13,6,5
OL-9,Monday,14,12,12
OL-9,Monday,15,34,39
OL-9,Monday,16,76,67
OL-9,Monday,17,116,65
OL-9,Monday,18,116,92
OL-9,Monday,19,76,49
OL-9,Monday,20,34,38
OL-9,Monday,21,12,10
OL-9,Monday,22,6,6
OL-9,Monday,23,5,5
BL-1,Monday,0,5,4
BL-1,Monday,1,5,5
BL-1,Monday,2,5,4
BL-1,Monday,3,5,5
BL-1,Monday,4,6,6
BL-1,Monday,5,12,12
BL-1,Monday,6,40,38
BL-1,Monday,7,105,131
BL-1,Monday,8,146,163
BL-1,Monday,9,105,151
BL-1,Monday,10,40,37
BL-1,Monday,11,12,10
BL-1,Monday,12,6,5
BL-1,Monday,13,7,7
BL-1,Monday,14,15,13
BL-1,Monday,15,40,44
BL-1,Monday,16,90,71
BL-1,Monday,17,138,115
BL-1,Monday,18,138,123
BL-1,Monday,19,90,76
BL-1,Monday,20,40,45
BL-1,Monday,21,15,13
BL-1,Monday,22,7,7
BL-1,Monday,23,6,6
BL-2,Monday,0,13,14
BL-2,Monday,1,13,14
BL-2,Monday,2,13,13
BL-2,Monday,3,13,12
BL-2,Monday,4,14,13
BL-2,Monday,5,26,25
BL-2,Monday,6,90,86
BL-2,Monday,7,233,288
BL-2,Monday,8,325,367
BL-2,Monday,9,233,262
BL-2,Monday,10,90,97
BL-2,Monday,11,26,25
BL-2,Monday,12,14,15
BL-2,Monday,13,16,16
BL-2,Monday,14,33,28
BL-2,Monday,15,90,80
BL-2,Monday,16,202,125
BL-2,Monday,17,308,274
BL-2,Monday,18,308,192
BL-2,Monday,19,202,147
BL-2,Monday,20,90,101
BL-2,Monday,21,33,37
BL-2,Monday,22,16,14
BL-2,Monday,23,13,11
BL-3,Monday,0,18,15
BL-3,Monday,1,18,16
BL-3,Monday,2,18,18
BL-3,Monday,3,18,20
BL-3,Monday,4,20,20
BL-3,Monday,5,38,39
BL-3,Monday,6,130,118
BL-3,Monday,7,335,462
BL-3,Monday,8,467,614
BL-3,Monday,9,335,469
BL-3,Monday,10,130,147
BL-3,Monday,11,38,36
BL-3,Monday,12,20,17
BL-3,Monday,13,23,21
BL-3,Monday,14,48,47
BL-3,Monday,15,130,147
BL-3,Monday,16,290,197
BL-3,Monday,17,443,363
BL-3,Monday,18,443,327
BL-3,Monday,19,290,178
BL-3,Monday,20,130,123
BL-3,Monday,21,48,50
BL-3,Monday,22,23,24
BL-3,Monday,23,19,18
BL-4,Monday,0,27,28
BL-4,Monday,1,27,24
BL-4,Monday,2,27,30
BL-4,Monday,3,27,24
BL-4,Monday,4,29,25
BL-4,Monday,5,55,54
BL-4,Monday,6,189,190
BL-4,Monday,7,486,621
BL-4,Monday,8,677,848
BL-4,Monday,9,486,703
BL-4,Monday,10,189,188
BL-4,Monday,11,55,54
BL-4,Monday,12,29,28
BL-4,Monday,13,34,29
BL-4,Monday,14,69,70
BL-4,Monday,15,189,173
BL-4,Monday,16,421,325
BL-4,Monday,17,641,363
BL-4,Monday,18,641,572
BL-4,Monday,19,421,300
BL-4,Monday,20,189,211
BL-4,Monday,21,69,68
BL-4,Monday,22,34,29
BL-4,Monday,23,27,29
BL-5,Monday,0,122,132
BL-5,Monday,1,122,119
BL-5,Monday,2,122,127
BL-5,Monday,3,122,135
BL-5,Monday,4,133,138
BL-5,Monday,5,251,239
BL-5,Monday,6,853,894
BL-5,Monday,7,2195,2930
BL-5,Monday,8,3055,4387
BL-5,Monday,9,2195,2699
BL-5,Monday,10,853,833
BL-5,Monday,11,251,274
BL-5,Monday,12,133,133
BL-5,Monday,13,154,164
BL-5,Monday,14,315,311
BL-5,Monday,15,853,780
BL-5,Monday,16,1901,1541
BL-5,Monday,17,2897,1726
BL-5,Monday,18,2897,1794
BL-5,Monday,19,1901,1462
BL-5,Monday,20,853,916
BL-5,Monday,21,315,352
BL-5,Monday,22,154,143
BL-5,Monday,23,125,110
BL-6,Monday,0,28,25
BL-6,Monday,1,28,25
BL-6,Monday,2,28,26
BL-6,Monday,3,28,28
BL-6,Monday,4,31,34
BL-6,Monday,5,58,62
BL-6,Monday,6,199,211
BL-6,Monday,7,513,595
BL-6,Monday,8,714,874
BL-6,Monday,9,513,650
BL-6,Monday,10,199,177
BL-6,Monday,11,58,54
BL-6,Monday,12,31,29
BL-6,Monday,13,36,31
BL-6,Monday,14,73,74
BL-6,Monday,15,199,211
BL-6,Monday,16,444,255
BL-6,Monday,17,677,486
BL-6,Monday,18,677,557
BL-6,Monday,19,444,360
BL-6,Monday,20,199,217
BL-6,Monday,21,73,71
BL-6,Monday,22,36,39
BL-6,Monday,23,29,26
BL-7,Monday,0,17,15
BL-7,Monday,1,17,16
BL-7,Monday,2,17,16
BL-7,Monday,3,17,15
BL-7,Monday,4,19,20
BL-7,Monday,5,36,33
BL-7,Monday,6,123,114
BL-7,Monday,7,316,362
BL-7,Monday,8,440,551
BL-7,Monday,9,316,381
BL-7,Monday,10,123,118
BL-7,Monday,11,36,33
BL-7,Monday,12,19,20
BL-7,Monday,13,22,24
BL-7,Monday,14,45,44
BL-7,Monday,15,123,128
BL-7,Monday,16,274,233
BL-7,Monday,17,417,375
BL-7,Monday,18,417,318
BL-7,Monday,19,274,236
BL-7,Monday,20,123,138
BL-7,Monday,21,45,48
BL-7,Monday,22,22,21
BL-7,Monday,23,18,15
BL-8,Monday,0,9,8
BL-8,Monday,1,9,8
BL-8,Monday,2,9,8
BL-8,Monday,3,9,9
BL-8,Monday,4,10,10
BL-8,Monday,5,19,20
BL-8,Monday,6,66,58
BL-8,Monday,7,170,200
BL-8,Monday,8,237,326
BL-8,Monday,9,170,237
BL-8,Monday,10,66,75
BL-8,Monday,11,19,21
BL-8,Monday,12,10,11
BL-8,Monday,13,12,11
BL-8,Monday,14,24,23
BL-8,Monday,15,66,61
BL-8,Monday,16,147,112
BL-8,Monday,17,224,196
BL-8,Monday,18,224,150
BL-8,Monday,19,147,109
BL-8,Monday,20,66,61
BL-8,Monday,21,24,21
BL-8,Monday,22,12,10
BL-8,Monday,23,9,7
BL-9,Monday,0,5,4
BL-9,Monday,1,5,5
BL-9,Monday,2,5,5
BL-9,Monday,3,5,4
BL-9,Monday,4,5,4
BL-9,Monday,5,10,10
BL-9,Monday,6,37,34
BL-9,Monday,7,96,136
BL-9,Monday,8,133,152
BL-9,Monday,9,96,128
BL-9,Monday,10,37,40
BL-9,Monday,11,10,9
BL-9,Monday,12,5,4
BL-9,Monday,13,6,6
BL-9,Monday,14,13,12
BL-9,Monday,15,37,36
BL-9,Monday,16,83,58
BL-9,Monday,17,126,80
BL-9,Monday,18,126,103
BL-9,Monday,19,83,68
BL-9,Monday,20,37,35
BL-9,Monday,21,13,14
BL-9,Monday,22,6,5
BL-9,Monday,23,5,4
OL-1,Tuesday,0,6,6
OL-1,Tuesday,1,6,5
OL-1,Tuesday,2,6,5
OL-1,Tuesday,3,6,6
OL-1,Tuesday,4,6,6
OL-1,Tuesday,5,12,10
OL-1,Tuesday,6,41,39
OL-1,Tuesday,7,107,145
OL-1,Tuesday,8,150,184
OL-1,Tuesday,9,107,124
OL-1,Tuesday,10,41,37
OL-1,Tuesday,11,12,11
OL-1,Tuesday,12,6,5
OL-1,Tuesday,13,7,7
OL-1,Tuesday,14,15,15
OL-1,Tuesday,15,41,43
OL-1,Tuesday,16,93,83
OL-1,Tuesday,17,142,98
OL-1,Tuesday,18,142,98
OL-1,Tuesday,19,93,81
OL-1,Tuesday,20,41,37
OL-1,Tuesday,21,15,16
OL-1,Tuesday,22,7,7
OL-1,Tuesday,23,6,5
OL-2,Tuesday,0,11,10
OL-2,Tuesday,1,11,9
OL-2,Tuesday,2,11,10
OL-2,Tuesday,3,11,10
OL-2,Tuesday,4,12,13
OL-2,Tuesday,5,24,26
OL-2,Tuesday,6,81,88
OL-2,Tuesday,7,210,250
OL-2,Tuesday,8,292,349
OL-2,Tuesday,9,210,249
OL-2,Tuesday,10,81,72
OL-2,Tuesday,11,24,27
OL-2,Tuesday,12,12,11
OL-2,Tuesday,13,14,12
OL-2,Tuesday,14,30,33
OL-2,Tuesday,15,81,78
OL-2,Tuesday,16,182,102
OL-2,Tuesday,17,277,168
OL-2,Tuesday,18,277,214
OL-2,Tuesday,19,182,149
OL-2,Tuesday,20,81,73
OL-2,Tuesday,21,30,33
OL-2,Tuesday,22,14,15
OL-2,Tuesday,23,12,13
OL-3,Tuesday,0,17,14
OL-3,Tuesday,1,17,18
OL-3,Tuesday,2,17,16
OL-3,Tuesday,3,17,17
OL-3,Tuesday,4,19,20
OL-3,Tuesday,5,36,31
OL-3,Tuesday,6,122,132
OL-3,Tuesday,7,315,449
OL-3,Tuesday,8,438,593
OL-3,Tuesday,9,315,395
OL-3,Tuesday,10,122,135
OL-3,Tuesday,11,36,36
OL-3,Tuesday,12,19,20
OL-3,Tuesday,13,22,24
OL-3,Tuesday,14,45,48
OL-3,Tuesday,15,122,114
OL-3,Tuesday,16,273,161
OL-3,Tuesday,17,415,262
OL-3,Tuesday,18,415,301
OL-3,Tuesday,19,273,198
OL-3,Tuesday,20,122,125
OL-3,Tuesday,21,45,43
OL-3,Tuesday,22,22,23
OL-3,Tuesday,23,18,20
OL-4,Tuesday,0,25,26
OL-4,Tuesday,1,25,26
OL-4,Tuesday,2,25,25
OL-4,Tuesday,3,25,22
OL-4,Tuesday,4,27,29
OL-4,Tuesday,5,51,58
OL-4,Tuesday,6,175,186
OL-4,Tuesday,7,452,642
OL-4,Tuesday,8,629,908
OL-4,Tuesday,9,452,552
OL-4,Tuesday,10,175,182
OL-4,Tuesday,11,51,50
OL-4,Tuesday,12,27,30
OL-4,Tuesday,13,31,27
OL-4,Tuesday,14,64,62
OL-4,Tuesday,15,175,194
OL-4,Tuesday,16,391,253
OL-4,Tuesday,17,597,492
OL-4,Tuesday,18,597,408
OL-4,Tuesday,19,391,349
OL-4,Tuesday,20,175,195
OL-4,Tuesday,21,64,60
OL-4,Tuesday,22,31,33
OL-4,Tuesday,23,25,23
OL-5,Tuesday,0,104,108
OL-5,Tuesday,1,104,114
OL-5,Tuesday,2,104,89
OL-5,Tuesday,3,104,95
OL-5,Tuesday,4,114,121
OL-5,Tuesday,5,214,218
OL-5,Tuesday,6,730,729
OL-5,Tuesday,7,1877,2100
OL-5,Tuesday,8,2613,3192
OL-5,Tuesday,9,1877,2633
OL-5,Tuesday,10,730,627
OL-5,Tuesday,11,214,207
OL-5,Tuesday,12,114,129
OL-5,Tuesday,13,132,114
OL-5,Tuesday,14,269,289
OL-5,Tuesday,15,730,676
OL-5,Tuesday,16,1626,1387
OL-5,Tuesday,17,2477,2009
OL-5,Tuesday,18,2477,2130
OL-5,Tuesday,19,1626,1017
OL-5,Tuesday,20,730,736
OL-5,Tuesday,21,269,291
OL-5,Tuesday,22,132,121
OL-5,Tuesday,23,107,98
OL-6,Tuesday,0,25,28
OL-6,Tuesday,1,25,26
OL-6,Tuesday,2,25,26
OL-6,Tuesday,3,25,26
OL-6,Tuesday,4,27,27
OL-6,Tuesday,5,51,50
OL-6,Tuesday,6,176,173
OL-6,Tuesday,7,452,598
OL-6,Tuesday,8,630,737
OL-6,Tuesday,9,452,637
OL-6,Tuesday,10,176,192
OL-6,Tuesday,11,51,48
OL-6,Tuesday,12,27,27
OL-6,Tuesday,13,31,27
OL-6,Tuesday,14,64,73
OL-6,Tuesday,15,176,197
OL-6,Tuesday,16,392,342
OL-6,Tuesday,17,597,397
OL-6,Tuesday,18,597,363
OL-6,Tuesday,19,392,244
OL-6,Tuesday,20,176,154
OL-6,Tuesday,21,64,56
OL-6,Tuesday,22,31,27
OL-6,Tuesday,23,25,28
OL-7,Tuesday,0,17,15
OL-7,Tuesday,1,17,18
OL-7,Tuesday,2,17,17
OL-7,Tuesday,3,17,18
OL-7,Tuesday,4,19,19
OL-7,Tuesday,5,36,40
OL-7,Tuesday,6,124,129
OL-7,Tuesday,7,320,410
OL-7,Tuesday,8,445,600
OL-7,Tuesday,9,320,402
OL-7,Tuesday,10,124,118
OL-7,Tuesday,11,36,35
OL-7,Tuesday,12,19,17
OL-7,Tuesday,13,22,23
OL-7,Tuesday,14,45,41
OL-7,Tuesday,15,124,111
OL-7,Tuesday,16,277,176
OL-7,Tuesday,17,422,356
OL-7,Tuesday,18,422,280
OL-7,Tuesday,19,277,218
OL-7,Tuesday,20,124,137
OL-7,Tuesday,21,45,39
OL-7,Tuesday,22,22,23
OL-7,Tuesday,23,18,16
OL-8,Tuesday,0,11,11
OL-8,Tuesday,1,11,12
OL-8,Tuesday,2,11,10
OL-8,Tuesday,3,11,11
OL-8,Tuesday,4,12,11
OL-8,Tuesday,5,23,23
OL-8,Tuesday,6,80,82
OL-8,Tuesday,7,206,270
OL-8,Tuesday,8,287,378
OL-8,Tuesday,9,206,236
OL-8,Tuesday,10,80,84
OL-8,Tuesday,11,23,24
OL-8,Tuesday,12,12,12
OL-8,Tuesday,13,14,12
OL-8,Tuesday,14,29,28
OL-8,Tuesday,15,80,77
OL-8,Tuesday,16,178,103
OL-8,Tuesday,17,272,170
OL-8,Tuesday,18,272,191
OL-8,Tuesday,19,178,144
OL-8,Tuesday,20,80,73
OL-8,Tuesday,21,29,31
OL-8,Tuesday,22,14,14
OL-8,Tuesday,23,11,11
OL-9,Tuesday,0,5,4
OL-9,Tuesday,1,5,5
OL-9,Tuesday,2,5,5
OL-9,Tuesday,3,5,4
OL-9,Tuesday,4,5,5
OL-9,Tuesday,5,10,10
OL-9,Tuesday,6,37,39
OL-9,Tuesday,7,95,106
OL-9,Tuesday,8,133,170
OL-9,Tuesday,9,95,120
OL-9,Tuesday,10,37,41
OL-9,Tuesday,11,10,9
OL-9,Tuesday,12,5,4
OL-9,Tuesday,13,6,6
OL-9,Tuesday,14,13,12
OL-9,Tuesday,15,37,33
OL-9,Tuesday,16,82,51
OL-9,Tuesday,17,126,73
OL-9,Tuesday,18,126,69
OL-9,Tuesday,19,82,57
OL-9,Tuesday,20,37,39
OL-9,Tuesday,21,13,13
OL-9,Tuesday,22,6,5
OL-9,Tuesday,23,5,5
BL-1,Tuesday,0,5,5
BL-1,Tuesday,1,5,4
BL-1,Tuesday,2,5,5
BL-1,Tuesday,3,5,4
BL-1,Tuesday,4,6,6
BL-1,Tuesday,5,12,11
BL-1,Tuesday,6,41,44
BL-1,Tuesday,7,106,125
BL-1,Tuesday,8,147,208
BL-1,Tuesday,9,106,135
BL-1,Tuesday,10,41,44
BL-1,Tuesday,11,12,13
BL-1,Tuesday,12,6,6
BL-1,Tuesday,13,7,6
BL-1,Tuesday,14,15,14
BL-1,Tuesday,15,41,37
BL-1,Tuesday,16,91,58
BL-1,Tuesday,17,139,104
BL-1,Tuesday,18,139,124
BL-1,Tuesday,19,91,81
BL-1,Tuesday,20,41,41
BL-1,Tuesday,21,15,15
BL-1,Tuesday,22,7,7
BL-1,Tuesday,23,6,6
BL-2,Tuesday,0,11,11
BL-2,Tuesday,1,11,12
BL-2,Tuesday,2,11,10
BL-2,Tuesday,3,12,11
BL-2,Tuesday,4,13,14
BL-2,Tuesday,5,24,27
BL-2,Tuesday,6,83,93
BL-2,Tuesday,7,214,295
BL-2,Tuesday,8,299,357
BL-2,Tuesday,9,214,259
BL-2,Tuesday,10,83,84
BL-2,Tuesday,11,24,24
BL-2,Tuesday,12,13,13
BL-2,Tuesday,13,15,15
BL-2,Tuesday,14,30,29
BL-2,Tuesday,15,83,89
BL-2,Tuesday,16,186,124
BL-2,Tuesday,17,283,188
BL-2,Tuesday,18,283,168
BL-2,Tuesday,19,186,114
BL-2,Tuesday,20,83,91
BL-2,Tuesday,21,30,29
BL-2,Tuesday,22,15,13
BL-2,Tuesday,23,12,12
BL-3,Tuesday,0,20,17
BL-3,Tuesday,1,20,18
BL-3,Tuesday,2,20,18
BL-3,Tuesday,3,20,20
BL-3,Tuesday,4,22,20
BL-3,Tuesday,5,42,36
BL-3,Tuesday,6,144,124
BL-3,Tuesday,7,370,482
BL-3,Tuesday,8,516,571
BL-3,Tuesday,9,370,516
BL-3,Tuesday,10,144,129
BL-3,Tuesday,11,42,43
BL-3,Tuesday,12,22,21
BL-3,Tuesday,13,26,25
BL-3,Tuesday,14,53,46
BL-3,Tuesday,15,144,157
BL-3,Tuesday,16,321,276
BL-3,Tuesday,17,489,270
BL-3,Tuesday,18,489,299
BL-3,Tuesday,19,321,278
BL-3,Tuesday,20,144,146
BL-3,Tuesday,21,53,47
BL-3,Tuesday,22,26,23
BL-3,Tuesday,23,21,22
BL-4,Tuesday,0,30,30
BL-4,Tuesday,1,30,34
BL-4,Tuesday,2,30,29
BL-4,Tuesday,3,30,28
BL-4,Tuesday,4,33,32
BL-4,Tuesday,5,62,59
BL-4,Tuesday,6,213,195
BL-4,Tuesday,7,548,611
BL-4,Tuesday,8,763,933
BL-4,Tuesday,9,548,739
BL-4,Tuesday,10,213,182
BL-4,Tuesday,11,62,60
BL-4,Tuesday,12,33,34
BL-4,Tuesday,13,38,39
BL-4,Tuesday,14,78,84
BL-4,Tuesday,15,213,232
BL-4,Tuesday,16,475,379
BL-4,Tuesday,17,723,423
BL-4,Tuesday,18,723,517
BL-4,Tuesday,19,475,361
BL-4,Tuesday,20,213,196
BL-4,Tuesday,21,78,67
BL-4,Tuesday,22,38,34
BL-4,Tuesday,23,31,30
BL-5,Tuesday,0,115,103
BL-5,Tuesday,1,115,126
BL-5,Tuesday,2,115,129
BL-5,Tuesday,3,116,105
BL-5,Tuesday,4,126,142
BL-5,Tuesday,5,237,202
BL-5,Tuesday,6,807,909
BL-5,Tuesday,7,2075,2973
BL-5,Tuesday,8,2889,3190
BL-5,Tuesday,9,2075,2836
BL-5,Tuesday,10,807,920
BL-5,Tuesday,11,237,265
BL-5,Tuesday,12,126,143
BL-5,Tuesday,13,146,148
BL-5,Tuesday,14,297,259
BL-5,Tuesday,15,807,891
BL-5,Tuesday,16,1798,1375
BL-5,Tuesday,17,2739,2095
BL-5,Tuesday,18,2739,1906
BL-5,Tuesday,19,1798,1348
BL-5,Tuesday,20,807,723
BL-5,Tuesday,21,297,318
BL-5,Tuesday,22,146,127
BL-5,Tuesday,23,118,126
BL-6,Tuesday,0,27,26
BL-6,Tuesday,1,27,27
BL-6,Tuesday,2,27,25
